               0          1        2        3        4        5        6        7        8        9        10       11       12      13      14      15      16      17      18      19      20      21      22      23      24      25      26
128        011.90        601      139       79       76       65       55       47       26       27       27       13       15       8       5       5       3       5       1       2     NaN     NaN       1       2     NaN     NaN     NaN
129        011.91          5      NaN        1      NaN        1        2      NaN        1      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
130        011.92         30       14        3        3        2        1        1        2        2      NaN        1      NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
131        011.93        228      142       13       10        9       10       11        5        5        3        3        6       3     NaN       3       2       2     NaN     NaN     NaN     NaN     NaN     NaN     NaN       1     NaN
132        011.94        108       64        8        6        2        3        7        1        1        2        7        2       1       1       1     NaN     NaN     NaN     NaN     NaN     NaN       1       1     NaN     NaN     NaN
133        011.95         28       15        3        2        2      NaN        2        3      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
134        011.96         69       37        4        6        4        2        4        2        3        2        2      NaN       2     NaN     NaN     NaN     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN
135        012.00         19       11        1      NaN      NaN        1        3        1        1        1      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
136        012.01          1      NaN      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
137        012.02          2        1      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
138        012.03         13        7        1        1        1        1        1      NaN      NaN      NaN      NaN      NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
139        012.04         14        9        1      NaN        1      NaN      NaN        1      NaN        1      NaN      NaN     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
140        012.05          6        3      NaN      NaN      NaN      NaN      NaN        1        1      NaN        1      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
